Genera,spines (present (y) or absent(x),"latex (white, clear, red, orange, yellow)",corolla overlap (left (l) or right(r)),"predominant habit (shrub (sh), subshrub (subsh), liana (li), tree(tr), succ (sc), herb (hb)",Comment,Ref
Acokanthera,x,w,l,sh,,
Adenium,x,c,r,sc,,
Alafia,x,w,r,li,,
Allamanda,x,w,l,sh,,
Alstonia,x,w,l,tr,,
Alyxia,x,w,l,tr,,
Amphineurion,x,w,r,li,,
Apteranthes,x,c,r,sc,,
Aspidosperma,x,r/o/y,l,tr,,
Calotropis,x,w,r,sh,,
Carissa,y,w,l/r,sh,,
Cascabela,x,w,l,sh,,
Catharanthus,x,w,r,subsh,,
Caudanthera,x,c,r,sc,,
Chilocarpus,x,w,l,sh,,
Condylocarpon,x,w,l,tr/sh,,
Cryptolepis,x,w/r,r,sh/li,,
Desmidorchis,x,c,r,sc,,
Diplorhynchus,x,w/y,l,tr,,
Dyera,x,w,l,tr,,
Funtumia,x,w,r,tr,,
Geissospermum,x,w,l,tr,,
Gomphocarpus,x,w,r,sh,,
Gongronema,x,w,r,li,,
Gonioma,x,w,l,sh,,
Gymnema,x,w,r,li,,
Hancornia,x,w,l,tr,,
Hemidesmus,x,w,r,li,,
Himatanthus,x,w,l,sh,,
Holarrhena,x,w,r,tr,,
Hunteria,x,w,l,tr,DG queries presence of spines,
Kanahia,x,w,r,subsh,,
Kopsia,x,w,l,tr,,
Landolphia,x,w,l,li,,
Leptadenia,x,c,r,li,,
Leuconotis,x,w,l,li,,
Marsdenia,x,w,r,sh/li,,
Mondia,x,w,r,li,,
Monolluma,x,c,r,sc,,
Motandra,x,w,r,li,,
Ochrosia,x,w,l,tr,,
Parahancornia,x,w,l,tr/sh,,
Pentalinon,x,w,r,li,,
Pergularia,x,w,r,li,,
Periploca,x,w,r,sh/li,,
Picralima,x,w,l,tr,,
Pleiocarpa,x,w,l,tr,,
Plumeria,x,?,l,tr,,
Rauvolfia,x,w,l,tr,,
Schizozygia,x,w,l,sh,,
Secamone,x,w,r,li,,
Streptocaulon,x,w,r,li,,
Strophanthus,x,r/y/w,r,sh/li,,
Tabernaemontana,x,w,l,tr,,
Vallaris,x,w,r,li,,
Vallesia,x,w,l,sh,,
Vincetoxicum,x,c,r,li,,
Voacanga,x,w,l,tr,,
Wrightia,x,w,l,tr,,
Xysmalobium,x,w,r,hb,,
Agathisanthemum,,,,,,
Amaioua,,,,,,
Aoranthe,,,,,,
Asperula,,,,,,
Bertiera,,,,,,
Burchellia,,,,,,
Calycophyllum,,,,,,
Canthium,,,,,,
Capirona,,,,,,
Carapichea,,,,,,
Cephalanthus,,,,,,
Ciliosemina,,,,,,
Cinchona,,,,,,
Coffea,,,,,,
Coptosperma,,,,,,
Corynanthe,,,,,,
Coussarea,,,,,,
Crossopteryx,,,,,,
Cuviera,,,,,,
Danais,,,,,,
Dolichopentas,,,,,,
Fadogia,,,,,,
Faramea,,,,,,
Feretia,,,,,,
Gardenia,,,,,,
Guettarda,,,,,,
Heinsia,,,,,,
Hintonia,,,,,,
Hymenodictyon,,,,,,
Isertia,,,,,,
Keetia,,,,,,
Ladenbergia,,,,,,
Macrocnemum,,,,,,
Massularia,,,,,,
Mitracarpus,,,,,,
Mitragyna,,,,,,
Morinda,,,,,,
Nauclea,,,,,,
Notopleura,,,,,,
Oldenlandia,,,,,,
Pagamea,,,,,,
Palicourea,,,,,,
Pavetta,,,,,,
Pentagonia,,,,,,
Pentas,,,,,,
Pittoniotis,,,,,,
Plocama,,,,,,
Posoqueria,,,,,,
Prismatomeris,,,,,,
Psychotria,,,,,,
Psydrax,,,,,,
Pyrostria,,,,,,
Randia,,,,,,
Rennellia,,,,,,
Rhodopentas,,,,,,
Ronabea,,,,,,
Rothmannia,,,,,,
Rubia,,,,,,
Rudgea,,,,,,
Sabicea,,,,,,
Schizocalyx,,,,,,
Solenandra,,,,,,
Spermacoce,,,,,,
Tarenna,,,,,,
Timonius,,,,,,
Vangueria,,,,,,
Warszewiczia,,,,,,
Wendlandia,,,,,,
Decanema,,y,,,Synonym of Cynanchum,Herbarium sheets
Pachypodium,y,c,r,sc/hb/tr,,
Hoodia,y,c,r,sc,,
